"Label","Description","Modality","Measurement","Atlas","rsf.pipeline"
"T2Flair_dimt","Unknown Core: dimt","Flair","Unknown","ANTs",NA
"T2Flair_slice","Unknown Core: slice","Flair","Unknown","ANTs",NA
"T2Flair_modality","Unknown Core: modality","Flair","Unknown","ANTs",NA
"T2Flair_mriseries","Unknown Core: mriseries","Flair","Unknown","ANTs",NA
"T2Flair_mriSAR","Unknown Core: mrisar","Flair","Unknown","ANTs",NA
"T2Flair_mriPixelBandwidth","Unknown Core: mripixelbandwidth","Flair","Unknown","ANTs",NA
"T2Flair_mriPixelBandwidthPE","Unknown Core: mripixelbandwidthpe","Flair","Unknown","ANTs",NA
"T2Flair_dti_bvalueMax","Unknown Core: dti bvaluemax","Flair","Unknown","ANTs",NA
"T2Flair_dti_bvecnorm","Unknown Core: dti bvecnorm","Flair","Unknown","ANTs",NA
"T2Flair_ol_loop","Global","Flair","Outlier Probability","ANTs",NA
"T2Flair_ol_lof","Global","Flair","Outlier Score","ANTs",NA
"T2Flair_ol_lof_decision","Unknown Core: decision","Flair","Outlier Score","ANTs",NA
"flairid",NA,"Flair",NA,"ANTs",NA
"T2Flair_negol","Negative Outlier","Flair","Unknown","ANTs",NA
"T2Flair_score_ol_loop","Unknown Core: ol loop","Flair","Score","ANTs",NA
"T2Flair_score_noise","Unknown Core: noise","Flair","Score","ANTs",NA
"T2Flair_score_snr","Unknown Core: snr","Flair","Score","ANTs",NA
"T2Flair_score_EVR","Unknown Core: evr","Flair","Score","ANTs",NA
"T2Flair_score_reflection_err","Unknown Core: reflection err","Flair","Score","ANTs",NA
"T2Flair_best_score","Unknown Core: best","Flair","Score","ANTs",NA
"nmfn1",NA,NA,NA,"ANTs",NA
"NM1_dimensionality",NA,NA,NA,"ANTs",NA
"NM1_noise",NA,NA,NA,"ANTs",NA
"NM1_snr",NA,NA,NA,"ANTs",NA
"NM1_cnr",NA,NA,NA,"ANTs",NA
"NM1_psnr",NA,NA,NA,"ANTs",NA
"NM1_ssim",NA,NA,NA,"ANTs",NA
"NM1_mi",NA,NA,NA,"ANTs",NA
"NM1_reflection_err",NA,NA,NA,"ANTs",NA
"NM1_EVR",NA,NA,NA,"ANTs",NA
"NM1_msk_vol",NA,NA,"geometry.volume","ANTs",NA
"NM1_spc0",NA,NA,NA,"ANTs",NA
"NM1_spc1",NA,NA,NA,"ANTs",NA
"NM1_spc2",NA,NA,NA,"ANTs",NA
"NM1_org0",NA,NA,NA,"ANTs",NA
"NM1_org1",NA,NA,NA,"ANTs",NA
"NM1_org2",NA,NA,NA,"ANTs",NA
"NM1_dimx",NA,NA,NA,"ANTs",NA
"NM1_dimy",NA,NA,NA,"ANTs",NA
"NM1_dimz",NA,NA,NA,"ANTs",NA
"NM1_dimt",NA,NA,NA,"ANTs",NA
"NM1_slice",NA,NA,NA,"ANTs",NA
"NM1_modality",NA,NA,NA,"ANTs",NA
"NM1_mriseries",NA,NA,NA,"ANTs",NA
"NM1_mriSAR",NA,NA,NA,"ANTs",NA
"NM1_mriPixelBandwidth","Unknown Core: nm1 mripixelbandwidth","Unknown","Unknown","ANTs",NA
"NM1_mriPixelBandwidthPE","Unknown Core: nm1 mripixelbandwidthpe","Unknown","Unknown","ANTs",NA
"NM1_dti_bvalueMax","Unknown Core: nm1 bvaluemax","DTI","Unknown","ANTs",NA
"NM1_dti_bvecnorm","Unknown Core: nm1 bvecnorm","DTI","Unknown","ANTs",NA
"NM1_ol_loop",NA,NA,NA,"ANTs",NA
"NM1_ol_lof",NA,NA,NA,"ANTs",NA
"NM1_ol_lof_decision",NA,NA,NA,"ANTs",NA
"nmid1",NA,NA,NA,"ANTs",NA
"NM1_negol",NA,NA,NA,"ANTs",NA
"NM1_score_ol_loop",NA,NA,NA,"ANTs",NA
"NM1_score_noise",NA,NA,NA,"ANTs",NA
"NM1_score_snr",NA,NA,NA,"ANTs",NA
"NM1_score_EVR",NA,NA,NA,"ANTs",NA
"NM1_score_reflection_err",NA,NA,NA,"ANTs",NA
"NM1_best_score",NA,NA,NA,"ANTs",NA
"nmfn2",NA,NA,NA,"ANTs",NA
"NM2_dimensionality","Unknown Core: nm2 dimensionality","Unknown","Unknown","ANTs",NA
"NM2_noise","Unknown Core: nm2 noise","Unknown","Unknown","ANTs",NA
"NM2_snr","Unknown Core: nm2","Unknown","Signal to Noise Ratio","ANTs",NA
"NM2_cnr","Unknown Core: nm2","Unknown","Contrast to Noise Ratio","ANTs",NA
"NM2_psnr","Unknown Core: nm2","Unknown","Peak Signal to Noise Ratio","ANTs",NA
"NM2_ssim","Unknown Core: nm2","Unknown","Structural Similarity Index","ANTs",NA
"NM2_mi","Unknown Core: nm2","Unknown","Mutual Information","ANTs",NA
"NM2_reflection_err","Unknown Core: nm2 reflection err","Unknown","Unknown","ANTs",NA
"NM2_EVR","Unknown Core: nm2","Unknown","Explained Variance Ratio","ANTs",NA
"NM2_msk_vol","Unknown Core: nm2 msk","Unknown","geometry.volume","ANTs",NA
"NM2_spc0","Unknown Core: nm2 spc0","Unknown","Unknown","ANTs",NA
"NM2_spc1","Unknown Core: nm2 spc1","Unknown","Unknown","ANTs",NA
"NM2_spc2","Unknown Core: nm2 spc2","Unknown","Unknown","ANTs",NA
"NM2_org0","Unknown Core: nm2 org0","Unknown","Unknown","ANTs",NA
"NM2_org1","Unknown Core: nm2 org1","Unknown","Unknown","ANTs",NA
"NM2_org2","Unknown Core: nm2 org2","Unknown","Unknown","ANTs",NA
"NM2_dimx","Unknown Core: nm2 dimx","Unknown","Unknown","ANTs",NA
"NM2_dimy","Unknown Core: nm2 dimy","Unknown","Unknown","ANTs",NA
"NM2_dimz","Unknown Core: nm2 dimz","Unknown","Unknown","ANTs",NA
"NM2_dimt","Unknown Core: nm2 dimt","Unknown","Unknown","ANTs",NA
"NM2_slice","Unknown Core: nm2 slice","Unknown","Unknown","ANTs",NA
"NM2_modality","Unknown Core: nm2 modality","Unknown","Unknown","ANTs",NA
"NM2_mriseries","Unknown Core: nm2 mriseries","Unknown","Unknown","ANTs",NA
"NM2_mriSAR","Unknown Core: nm2 mrisar","Unknown","Unknown","ANTs",NA
"NM2_mriPixelBandwidth","Unknown Core: nm2 mripixelbandwidth","Unknown","Unknown","ANTs",NA
"NM2_mriPixelBandwidthPE","Unknown Core: nm2 mripixelbandwidthpe","Unknown","Unknown","ANTs",NA
"NM2_dti_bvalueMax","Unknown Core: nm2 bvaluemax","DTI","Unknown","ANTs",NA
"NM2_dti_bvecnorm","Unknown Core: nm2 bvecnorm","DTI","Unknown","ANTs",NA
"NM2_ol_loop","Unknown Core: nm2","Unknown","Outlier Probability","ANTs",NA
"NM2_ol_lof","Unknown Core: nm2","Unknown","Outlier Score","ANTs",NA
"NM2_ol_lof_decision","Unknown Core: nm2 decision","Unknown","Outlier Score","ANTs",NA
"nmid2",NA,NA,NA,"ANTs",NA
"NM2_negol","Negative Outlier","Unknown","Unknown","ANTs",NA
"NM2_score_ol_loop","Unknown Core: nm2 ol loop","Unknown","Score","ANTs",NA
"NM2_score_noise","Unknown Core: nm2 noise","Unknown","Score","ANTs",NA
"NM2_score_snr","Unknown Core: nm2 snr","Unknown","Score","ANTs",NA
"NM2_score_EVR","Unknown Core: nm2 evr","Unknown","Score","ANTs",NA
"NM2_score_reflection_err","Unknown Core: nm2 reflection err","Unknown","Score","ANTs",NA
"NM2_best_score","Unknown Core: nm2 best","Unknown","Score","ANTs",NA
"nmfn3",NA,NA,NA,"ANTs",NA
"NM3_dimensionality",NA,NA,NA,"ANTs",NA
"NM3_noise",NA,NA,NA,"ANTs",NA
"NM3_snr",NA,NA,NA,"ANTs",NA
"NM3_cnr",NA,NA,NA,"ANTs",NA
"NM3_psnr",NA,NA,NA,"ANTs",NA
"NM3_ssim",NA,NA,NA,"ANTs",NA
"NM3_mi",NA,NA,NA,"ANTs",NA
"NM3_reflection_err",NA,NA,NA,"ANTs",NA
"NM3_EVR",NA,NA,NA,"ANTs",NA
"NM3_msk_vol",NA,NA,"geometry.volume","ANTs",NA
"NM3_spc0",NA,NA,NA,"ANTs",NA
"NM3_spc1",NA,NA,NA,"ANTs",NA
"NM3_spc2",NA,NA,NA,"ANTs",NA
"NM3_org0",NA,NA,NA,"ANTs",NA
"NM3_org1",NA,NA,NA,"ANTs",NA
"NM3_org2",NA,NA,NA,"ANTs",NA
"NM3_dimx",NA,NA,NA,"ANTs",NA
"NM3_dimy",NA,NA,NA,"ANTs",NA
"NM3_dimz",NA,NA,NA,"ANTs",NA
"NM3_dimt",NA,NA,NA,"ANTs",NA
"NM3_slice",NA,NA,NA,"ANTs",NA
"NM3_modality",NA,NA,NA,"ANTs",NA
"NM3_mriseries",NA,NA,NA,"ANTs",NA
"NM3_mriSAR",NA,NA,NA,"ANTs",NA
"NM3_mriPixelBandwidth","Unknown Core: nm3 mripixelbandwidth","Unknown","Unknown","ANTs",NA
"NM3_mriPixelBandwidthPE","Unknown Core: nm3 mripixelbandwidthpe","Unknown","Unknown","ANTs",NA
"NM3_dti_bvalueMax","Unknown Core: nm3 bvaluemax","DTI","Unknown","ANTs",NA
"NM3_dti_bvecnorm","Unknown Core: nm3 bvecnorm","DTI","Unknown","ANTs",NA
"NM3_ol_loop",NA,NA,NA,"ANTs",NA
"NM3_ol_lof",NA,NA,NA,"ANTs",NA
"NM3_ol_lof_decision",NA,NA,NA,"ANTs",NA
"nmid3",NA,NA,NA,"ANTs",NA
"NM3_negol",NA,NA,NA,"ANTs",NA
"NM3_score_ol_loop",NA,NA,NA,"ANTs",NA
"NM3_score_noise",NA,NA,NA,"ANTs",NA
"NM3_score_snr",NA,NA,NA,"ANTs",NA
"NM3_score_EVR",NA,NA,NA,"ANTs",NA
"NM3_score_reflection_err",NA,NA,NA,"ANTs",NA
"NM3_best_score",NA,NA,NA,"ANTs",NA
"nmfn4",NA,NA,NA,"ANTs",NA
"NM4_dimensionality",NA,NA,NA,"ANTs",NA
"NM4_noise",NA,NA,NA,"ANTs",NA
"NM4_snr",NA,NA,NA,"ANTs",NA
"NM4_cnr",NA,NA,NA,"ANTs",NA
"NM4_psnr",NA,NA,NA,"ANTs",NA
"NM4_ssim",NA,NA,NA,"ANTs",NA
"NM4_mi",NA,NA,NA,"ANTs",NA
"NM4_reflection_err",NA,NA,NA,"ANTs",NA
"NM4_EVR",NA,NA,NA,"ANTs",NA
"NM4_msk_vol",NA,NA,"geometry.volume","ANTs",NA
"NM4_spc0",NA,NA,NA,"ANTs",NA
"NM4_spc1",NA,NA,NA,"ANTs",NA
"NM4_spc2",NA,NA,NA,"ANTs",NA
"NM4_org0",NA,NA,NA,"ANTs",NA
"NM4_org1",NA,NA,NA,"ANTs",NA
"NM4_org2",NA,NA,NA,"ANTs",NA
"NM4_dimx",NA,NA,NA,"ANTs",NA
"NM4_dimy",NA,NA,NA,"ANTs",NA
"NM4_dimz",NA,NA,NA,"ANTs",NA
"NM4_dimt",NA,NA,NA,"ANTs",NA
"NM4_slice",NA,NA,NA,"ANTs",NA
"NM4_modality",NA,NA,NA,"ANTs",NA
"NM4_mriseries",NA,NA,NA,"ANTs",NA
"NM4_mriSAR",NA,NA,NA,"ANTs",NA
"NM4_mriPixelBandwidth","Unknown Core: nm4 mripixelbandwidth","Unknown","Unknown","ANTs",NA
"NM4_mriPixelBandwidthPE","Unknown Core: nm4 mripixelbandwidthpe","Unknown","Unknown","ANTs",NA
"NM4_dti_bvalueMax","Unknown Core: nm4 bvaluemax","DTI","Unknown","ANTs",NA
"NM4_dti_bvecnorm","Unknown Core: nm4 bvecnorm","DTI","Unknown","ANTs",NA
"NM4_ol_loop",NA,NA,NA,"ANTs",NA
"NM4_ol_lof",NA,NA,NA,"ANTs",NA
"NM4_ol_lof_decision",NA,NA,NA,"ANTs",NA
"nmid4",NA,NA,NA,"ANTs",NA
"NM4_negol",NA,NA,NA,"ANTs",NA
"NM4_score_ol_loop",NA,NA,NA,"ANTs",NA
"NM4_score_noise",NA,NA,NA,"ANTs",NA
"NM4_score_snr",NA,NA,NA,"ANTs",NA
"NM4_score_EVR",NA,NA,NA,"ANTs",NA
"NM4_score_reflection_err",NA,NA,NA,"ANTs",NA
"NM4_best_score",NA,NA,NA,"ANTs",NA
"nmfn5",NA,NA,NA,"ANTs",NA
"NM5_dimensionality",NA,NA,NA,"ANTs",NA
"NM5_noise",NA,NA,NA,"ANTs",NA
"NM5_snr",NA,NA,NA,"ANTs",NA
"NM5_cnr",NA,NA,NA,"ANTs",NA
"NM5_psnr",NA,NA,NA,"ANTs",NA
"NM5_ssim",NA,NA,NA,"ANTs",NA
"NM5_mi",NA,NA,NA,"ANTs",NA
"NM5_reflection_err",NA,NA,NA,"ANTs",NA
"NM5_EVR",NA,NA,NA,"ANTs",NA
"NM5_msk_vol",NA,NA,"geometry.volume","ANTs",NA
"NM5_spc0",NA,NA,NA,"ANTs",NA
"NM5_spc1",NA,NA,NA,"ANTs",NA
"NM5_spc2",NA,NA,NA,"ANTs",NA
"NM5_org0",NA,NA,NA,"ANTs",NA
"NM5_org1",NA,NA,NA,"ANTs",NA
"NM5_org2",NA,NA,NA,"ANTs",NA
"NM5_dimx",NA,NA,NA,"ANTs",NA
"NM5_dimy",NA,NA,NA,"ANTs",NA
"NM5_dimz",NA,NA,NA,"ANTs",NA
"NM5_dimt",NA,NA,NA,"ANTs",NA
"NM5_slice",NA,NA,NA,"ANTs",NA
"NM5_modality",NA,NA,NA,"ANTs",NA
"NM5_mriseries",NA,NA,NA,"ANTs",NA
"NM5_mriSAR",NA,NA,NA,"ANTs",NA
"NM5_mriPixelBandwidth","Unknown Core: nm5 mripixelbandwidth","Unknown","Unknown","ANTs",NA
"NM5_mriPixelBandwidthPE","Unknown Core: nm5 mripixelbandwidthpe","Unknown","Unknown","ANTs",NA
"NM5_dti_bvalueMax","Unknown Core: nm5 bvaluemax","DTI","Unknown","ANTs",NA
"NM5_dti_bvecnorm","Unknown Core: nm5 bvecnorm","DTI","Unknown","ANTs",NA
"NM5_ol_loop",NA,NA,NA,"ANTs",NA
"NM5_ol_lof",NA,NA,NA,"ANTs",NA
"NM5_ol_lof_decision",NA,NA,NA,"ANTs",NA
"nmid5",NA,NA,NA,"ANTs",NA
"NM5_negol",NA,NA,NA,"ANTs",NA
"NM5_score_ol_loop",NA,NA,NA,"ANTs",NA
"NM5_score_noise",NA,NA,NA,"ANTs",NA
"NM5_score_snr",NA,NA,NA,"ANTs",NA
"NM5_score_EVR",NA,NA,NA,"ANTs",NA
"NM5_score_reflection_err",NA,NA,NA,"ANTs",NA
"NM5_best_score",NA,NA,NA,"ANTs",NA
"NM6_filename",NA,NA,NA,"ANTs",NA
"NM6_dimensionality",NA,NA,NA,"ANTs",NA
"NM6_noise",NA,NA,NA,"ANTs",NA
"NM6_snr",NA,NA,NA,"ANTs",NA
"NM6_cnr",NA,NA,NA,"ANTs",NA
"NM6_psnr",NA,NA,NA,"ANTs",NA
"NM6_ssim",NA,NA,NA,"ANTs",NA
"NM6_mi",NA,NA,NA,"ANTs",NA
"NM6_reflection_err",NA,NA,NA,"ANTs",NA
"NM6_EVR",NA,NA,NA,"ANTs",NA
"NM6_msk_vol",NA,NA,"geometry.volume","ANTs",NA
"NM6_spc0",NA,NA,NA,"ANTs",NA
"NM6_spc1",NA,NA,NA,"ANTs",NA
"NM6_spc2",NA,NA,NA,"ANTs",NA
"NM6_org0",NA,NA,NA,"ANTs",NA
"NM6_org1",NA,NA,NA,"ANTs",NA
"NM6_org2",NA,NA,NA,"ANTs",NA
"NM6_dimx",NA,NA,NA,"ANTs",NA
"NM6_dimy",NA,NA,NA,"ANTs",NA
"NM6_dimz",NA,NA,NA,"ANTs",NA
"NM6_dimt",NA,NA,NA,"ANTs",NA
"NM6_slice",NA,NA,NA,"ANTs",NA
"NM6_modality",NA,NA,NA,"ANTs",NA
"NM6_mriseries",NA,NA,NA,"ANTs",NA
"NM6_mriSAR",NA,NA,NA,"ANTs",NA
"NM6_mriPixelBandwidth","Unknown Core: nm6 mripixelbandwidth","Unknown","Unknown","ANTs",NA
"NM6_mriPixelBandwidthPE","Unknown Core: nm6 mripixelbandwidthpe","Unknown","Unknown","ANTs",NA
"NM6_dti_bvalueMax","Unknown Core: nm6 bvaluemax","DTI","Unknown","ANTs",NA
"NM6_dti_bvecnorm","Unknown Core: nm6 bvecnorm","DTI","Unknown","ANTs",NA
"NM6_ol_loop",NA,NA,NA,"ANTs",NA
"NM6_ol_lof",NA,NA,NA,"ANTs",NA
"NM6_ol_lof_decision",NA,NA,NA,"ANTs",NA
"NM6_imageID",NA,NA,NA,"ANTs",NA
"NM6_negol",NA,NA,NA,"ANTs",NA
"NM6_score_ol_loop",NA,NA,NA,"ANTs",NA
"NM6_score_noise",NA,NA,NA,"ANTs",NA
"NM6_score_snr",NA,NA,NA,"ANTs",NA
"NM6_score_EVR",NA,NA,NA,"ANTs",NA
"NM6_score_reflection_err",NA,NA,NA,"ANTs",NA
"NM6_best_score",NA,NA,NA,"ANTs",NA
"dtfn1",NA,NA,NA,"ANTs",NA
"DTI1_dimensionality","Unknown Core: dti1 dimensionality","DTI","Unknown","ANTs",NA
"DTI1_noise","Unknown Core: dti1 noise","DTI","Unknown","ANTs",NA
"DTI1_snr","Unknown Core: dti1","DTI","Signal to Noise Ratio","ANTs",NA
"DTI1_cnr","Unknown Core: dti1","DTI","Contrast to Noise Ratio","ANTs",NA
"DTI1_psnr","Unknown Core: dti1","DTI","Peak Signal to Noise Ratio","ANTs",NA
"DTI1_ssim","Unknown Core: dti1","DTI","Structural Similarity Index","ANTs",NA
"DTI1_mi","Unknown Core: dti1","DTI","Mutual Information","ANTs",NA
"DTI1_reflection_err","Unknown Core: dti1 reflection err","DTI","Unknown","ANTs",NA
"DTI1_EVR","Unknown Core: dti1","DTI","Explained Variance Ratio","ANTs",NA
"DTI1_msk_vol","Unknown Core: dti1 msk","DTI","geometry.volume","ANTs",NA
"DTI1_spc0","Unknown Core: dti1 spc0","DTI","Unknown","ANTs",NA
"DTI1_spc1","Unknown Core: dti1 spc1","DTI","Unknown","ANTs",NA
"DTI1_spc2","Unknown Core: dti1 spc2","DTI","Unknown","ANTs",NA
"DTI1_org0","Unknown Core: dti1 org0","DTI","Unknown","ANTs",NA
"DTI1_org1","Unknown Core: dti1 org1","DTI","Unknown","ANTs",NA
"DTI1_org2","Unknown Core: dti1 org2","DTI","Unknown","ANTs",NA
"DTI1_dimx","Unknown Core: dti1 dimx","DTI","Unknown","ANTs",NA
"DTI1_dimy","Unknown Core: dti1 dimy","DTI","Unknown","ANTs",NA
"DTI1_dimz","Unknown Core: dti1 dimz","DTI","Unknown","ANTs",NA
"DTI1_dimt","Unknown Core: dti1 dimt","DTI","Unknown","ANTs",NA
"DTI1_slice","Unknown Core: dti1 slice","DTI","Unknown","ANTs",NA
"DTI1_modality","Unknown Core: dti1 modality","DTI","Unknown","ANTs",NA
"DTI1_mriseries","Unknown Core: dti1 mriseries","DTI","Unknown","ANTs",NA
"DTI1_mriSAR","Unknown Core: dti1 mrisar","DTI","Unknown","ANTs",NA
"DTI1_mriPixelBandwidth","Unknown Core: dti1 mripixelbandwidth","DTI","Unknown","ANTs",NA
"DTI1_mriPixelBandwidthPE","Unknown Core: dti1 mripixelbandwidthpe","DTI","Unknown","ANTs",NA
"DTI1_dti_bvalueMax","Unknown Core: 1 dti bvaluemax","DTI","Unknown","ANTs",NA
"DTI1_dti_bvecnorm","Unknown Core: 1 dti bvecnorm","DTI","Unknown","ANTs",NA
"DTI1_ol_loop","Unknown Core: dti1","DTI","Outlier Probability","ANTs",NA
"DTI1_ol_lof","Unknown Core: dti1","DTI","Outlier Score","ANTs",NA
"DTI1_ol_lof_decision","Unknown Core: dti1 decision","DTI","Outlier Score","ANTs",NA
"dtid1",NA,NA,NA,"ANTs",NA
"DTI1_negol","Negative Outlier","DTI","Unknown","ANTs",NA
"DTI1_score_ol_loop","Unknown Core: dti1 ol loop","DTI","Score","ANTs",NA
"DTI1_score_noise","Unknown Core: dti1 noise","DTI","Score","ANTs",NA
"DTI1_score_dti_bvalueMax","Unknown Core: 1 dti bvaluemax","DTI","Score","ANTs",NA
"DTI1_score_dimt","Unknown Core: dti1 dimt","DTI","Score","ANTs",NA
"DTI1_best_score","Unknown Core: dti1 best","DTI","Score","ANTs",NA
"dtfn2",NA,NA,NA,"ANTs",NA
"DTI2_dimensionality","Unknown Core: dti2 dimensionality","DTI","Unknown","ANTs",NA
"DTI2_noise","Unknown Core: dti2 noise","DTI","Unknown","ANTs",NA
"DTI2_snr","Unknown Core: dti2","DTI","Signal to Noise Ratio","ANTs",NA
"DTI2_cnr","Unknown Core: dti2","DTI","Contrast to Noise Ratio","ANTs",NA
"DTI2_psnr","Unknown Core: dti2","DTI","Peak Signal to Noise Ratio","ANTs",NA
"DTI2_ssim","Unknown Core: dti2","DTI","Structural Similarity Index","ANTs",NA
"DTI2_mi","Unknown Core: dti2","DTI","Mutual Information","ANTs",NA
"DTI2_reflection_err","Unknown Core: dti2 reflection err","DTI","Unknown","ANTs",NA
"DTI2_EVR","Unknown Core: dti2","DTI","Explained Variance Ratio","ANTs",NA
"DTI2_msk_vol","Unknown Core: dti2 msk","DTI","geometry.volume","ANTs",NA
"DTI2_spc0","Unknown Core: dti2 spc0","DTI","Unknown","ANTs",NA
"DTI2_spc1","Unknown Core: dti2 spc1","DTI","Unknown","ANTs",NA
"DTI2_spc2","Unknown Core: dti2 spc2","DTI","Unknown","ANTs",NA
"DTI2_org0","Unknown Core: dti2 org0","DTI","Unknown","ANTs",NA
"DTI2_org1","Unknown Core: dti2 org1","DTI","Unknown","ANTs",NA
"DTI2_org2","Unknown Core: dti2 org2","DTI","Unknown","ANTs",NA
"DTI2_dimx","Unknown Core: dti2 dimx","DTI","Unknown","ANTs",NA
"DTI2_dimy","Unknown Core: dti2 dimy","DTI","Unknown","ANTs",NA
"DTI2_dimz","Unknown Core: dti2 dimz","DTI","Unknown","ANTs",NA
"DTI2_dimt","Unknown Core: dti2 dimt","DTI","Unknown","ANTs",NA
"DTI2_slice","Unknown Core: dti2 slice","DTI","Unknown","ANTs",NA
"DTI2_modality","Unknown Core: dti2 modality","DTI","Unknown","ANTs",NA
"DTI2_mriseries","Unknown Core: dti2 mriseries","DTI","Unknown","ANTs",NA
"DTI2_mriSAR","Unknown Core: dti2 mrisar","DTI","Unknown","ANTs",NA
"DTI2_mriPixelBandwidth","Unknown Core: dti2 mripixelbandwidth","DTI","Unknown","ANTs",NA
"DTI2_mriPixelBandwidthPE","Unknown Core: dti2 mripixelbandwidthpe","DTI","Unknown","ANTs",NA
"DTI2_dti_bvalueMax","Unknown Core: 2 dti bvaluemax","DTI","Unknown","ANTs",NA
"DTI2_dti_bvecnorm","Unknown Core: 2 dti bvecnorm","DTI","Unknown","ANTs",NA
"DTI2_ol_loop","Unknown Core: dti2","DTI","Outlier Probability","ANTs",NA
"DTI2_ol_lof","Unknown Core: dti2","DTI","Outlier Score","ANTs",NA
"DTI2_ol_lof_decision","Unknown Core: dti2 decision","DTI","Outlier Score","ANTs",NA
"dtid2",NA,NA,NA,"ANTs",NA
"DTI2_negol","Negative Outlier","DTI","Unknown","ANTs",NA
"DTI2_score_ol_loop","Unknown Core: dti2 ol loop","DTI","Score","ANTs",NA
"DTI2_score_noise","Unknown Core: dti2 noise","DTI","Score","ANTs",NA
"DTI2_score_dti_bvalueMax","Unknown Core: 2 dti bvaluemax","DTI","Score","ANTs",NA
"DTI2_score_dimt","Unknown Core: dti2 dimt","DTI","Score","ANTs",NA
"DTI2_best_score","Unknown Core: dti2 best","DTI","Score","ANTs",NA
"dtfn3","Filename","DTI","Unknown","ANTs",NA
"DTI3_dimensionality","Unknown Core: dti3 dimensionality","DTI","Unknown","ANTs",NA
"DTI3_noise","Unknown Core: dti3 noise","DTI","Unknown","ANTs",NA
